index,offset_hex,offset_dec,length,code_refs,text
0,0x0000C4F0,50416,46,0,使用する表示フラグは１０個までにしてください。
1,0x0000DD48,56648,34,0,定義されていないコンフィグ呼び出し
2,0x0000E344,58180,49,0,"SCRIPT ERROR範囲外のインデックスが指定されました"
3,0x0000E378,58232,29,0,"SCRIPT ERROR戻り値が不正です"
4,0x0000E710,59152,9,0,ＭＯＭＯ
5,0x0000E71C,59164,10,0,誰か来て～
6,0x0000E728,59176,10,0,誰か来て～
7,0x0000E734,59188,10,0,ヒマだよ～
8,0x0000E740,59200,10,0,ヒマだよ～
9,0x0000E74C,59212,6,0,お～い
10,0x0000E754,59220,6,0,お～い
11,0x0000E75C,59228,6,0,誰か～
12,0x0000E764,59236,6,0,誰か～
13,0x0000E76C,59244,10,0,誰か来て～
14,0x0000E778,59256,10,0,誰か来て～
15,0x0000E784,59268,10,0,ヒマだよ～
16,0x0000E790,59280,10,0,ヒマだよ～
17,0x0000E79C,59292,6,0,お～い
18,0x0000E7A4,59300,6,0,お～い
19,0x0000E7AC,59308,6,0,誰か～
20,0x0000E7B4,59316,6,0,誰か～
21,0x000D38A8,866472,36,0,ＣＧが登録枚数を越えてしまいました。
22,0x000D4100,868608,26,0,製品版のＣＤを入れて下さい
23,0x000D411C,868636,26,0,製品版のＣＤを入れて下さい
24,0x000D4138,868664,4,0,ＯＫ
25,0x000D4140,868672,4,0,終了
26,0x000E656C,943468,18,0,美雨　お風呂　　１
27,0x000E6580,943488,18,0,美雨　お風呂　　２
28,0x000E6594,943508,18,0,美雨　寝室　　　１
29,0x000E65A8,943528,18,0,美雨　寝室　　　２
30,0x000E65BC,943548,18,0,美雨　寝室　　　３
31,0x000E65D0,943568,18,0,美雨　寝室　　　４
32,0x000E65E4,943588,18,0,美雨　居間　　　１
33,0x000E65F8,943608,18,0,美雨　居間　　　２
34,0x000E660C,943628,18,0,美雨　プール　　　
35,0x000E6620,943648,18,0,美雨　横溝先生　　
36,0x000E6634,943668,18,0,美雨　旅館トイレ　
37,0x000E6648,943688,18,0,美雨　旅館　　　１
38,0x000E665C,943708,18,0,美雨　旅館　　　２
39,0x000E6670,943728,18,0,美雨　倉庫　　　　
40,0x000E6684,943748,18,0,美雨　ゆか　　　　
41,0x000E6698,943768,18,0,美雨　住宅街　　　
42,0x000E66AC,943788,18,0,美雨　車内　　　１
43,0x000E66C0,943808,18,0,美雨　車内　　　２
44,0x000E66D4,943828,18,0,美雨　路地裏　　　
45,0x000E66E8,943848,18,0,美雨　天狗　　　　
46,0x000E66FC,943868,18,0,美雨　教会　　　　
